t_mail,Column,Column [1],,Column [2],,Column [3],Column [4],Column [5],Column [6]
int|key,str,str,int,int,int,str,int,int,str
,,,1,,0,,,,
id,sign,name,type,sender_id,weight_value,content,award_id,valid_time,desc
"邮件ID","标识","名称","邮件方式(1:模板;2:修改标题)","发件人ID","邮件重要值(0最小)","内容","奖励组ID","有效期(s)","备注"
#新邮件,,,,,,,,,
900,world_boss_rank,世界Boss排名奖励,,1,0,恭喜你！在世界Boss围剿中，伤害排名位于第{%text}名，奖励将以邮件形式发送到您账户上，请注意查收。,0,432000,text=玩家名次
901,world_boss_kill,世界Boss幸运大奖,,1,0,恭喜你！在世界Boss围剿中获得幸运大奖，奖励将以邮件形式发送到您账户上，请注意查收。,0,432000,
999,invite_rewards,邀请奖励（被邀请玩家的邮件）,,1,0,恭喜你！被{%text}成功邀请,998,432000,邀请方玩家名
#旧邮件,,,,,,,,,
1,bag_fill,背包已满,,1,,您的背包已满，获得的物品将通过邮件发送到您的账户上，请及时收取。,0,172800,
2,shou_chong,首储,,1,10,首储成功，请查收！,0,172800,
401,every_pay,储值成功,,1,10,感谢您的储值！您的储值已到账，请注意查收。,0,432000,
402,every_pay_coin,储值金币,,1,10,感谢您的储值！您储值的{%text}已到账，请注意查收。,0,432000,text1=单次储值获得的金币数
403,every_pay_diamond,储值钻石,,1,10,感谢您的储值！您储值的{%text}钻石已到账，请注意查收。,0,432000,text1=单次储值获得的钻石数
461,impact_activity_ranking,冲榜排名奖励,,1,10,恭喜你！在开服冲榜活动中位于{%text}的第{%text}名，奖励将以邮件形式发送到您账户上，请注意查收。,0,432000,text1=榜单类型，读取open_service_impact_activity表中的activity_name字段;text2=玩家名次
1001,gm_mail_send,gm奖励发送,2,2,10,{%text},0,0,后台gm奖励发送
1002,gm_platform_mail_send,gm平台邮件发送,2,2,10,{%text},0,0,后台gm奖励发送
3012,hefu_seven_login_award,合服七天登陆奖励发放,,1,,您在合服七天登陆活动中有奖励尚未领取，奖励将以邮件形式发送到您账户上，请注意查收。,0,432000,
#二选一翻倍,,,,,,,,,
801,mission_either_or,二选一翻倍,,1,7,您在翻倍玩法中离开，这是您离开后奖励，请查收！,0,432000,
#组队时时彩,,,,,,,,,
802,many_people_shishi_mission_mail,组队时时结算奖励,,1,7,您在组队boss战斗中掉线，这是您的赢得的奖励，请查收,0,432000,
#多人boss,,,,,,,,,
803,many_people_boss_mail,多人boss房主抽佣奖励,,1,7,您在多人boss战斗中担任房主时掉线，您的抽佣奖励已发送到您的邮箱，请查收,0,432000,
804,many_people_boss_mission_mail,多人boss战斗排行奖励,,1,7,您在多人boss战斗中掉线，这是您的排行奖励，请查收,0,432000,
805,many_people_boss_mission_fail_mail,多人boss战斗失败邮件,,1,7,您在多人boss战斗中掉线，最终战斗失败，没有获得奖励，希望您下次再接再厉！,0,432000,
#,,,,,,,,,
821,guess_boss_balance,六选一中奖,,1,7,角斗场最终胜利选手为{%text}号，本次奖励{%text}钻石！,0,432000,
822,guess_boss_balance1,六选一未中奖,,1,7,角斗场最终胜利选手为{%text}号，本次您为中奖！,0,432000,
#世界场景副本BOSS,,,,,,,,,
831,scene_boss_location_death,场景BOSS位置竞猜奖励,,1,7,恭喜竞猜胜利！BOSS死亡位置为{%text}，本次奖励{%text}钻石！,0,432000,
832,scene_boss_location_death1,场景BOSS位置未中奖,,1,7,竞猜位置：BOSS死亡位置为{%text}，本次您为中奖！,0,432000,
841,scene_boss_atk_count_death,场景BOSS刀数竞猜奖励,,1,7,恭喜竞猜胜利！BOSS死亡刀数为{%text}，本次奖励{%text}钻石！,0,432000,
842,scene_boss_atk_count_death1,场景BOSS刀数未中奖,,1,7,竞猜刀数：BOSS死亡位置为{%text}，本次您为中奖！,0,432000,
#,,,,,,,,,
1101,shishi_mission_mail,时时boss奖励,,1,7,您在彩金BOSS战斗中掉线，这是您的排行奖励，请查收,0,432000,
1201,pagoda_rank_award_mail,爬塔排行榜奖励邮件,,1,7,您在爬塔排行榜中位于第{%text}名，这是您的排行奖励，请查收,0,432000,
1301,mission_brave_one_back,勇敢者副本开启失败,,1,7,,0,432000,
1302,mission_brave_one_win,勇敢者副本胜利,,1,7,,0,432000,
1303,mission_brave_one_fail,勇敢者副本失败,,1,7,,0,432000,
#通行证邮件,,,,,,,,,
1400,tongxingzheng_mail,通行证邮件,,1,7,你有通行证奖励未领取,0,432000,
#累计储值,,,,,,,,,
1410,activity_lei_chong,累计储值,,1,7,累计储值活动已结束，您有未领取奖励，通过邮箱发送，请查收！,0,432000,
#新手玩家登陆发送邮件,,,,,,,,,
9999,newbie_login_mail,新手登陆邮件,,1,7,欢迎您来到异世界，游戏中有问题可联系客服！,0,432000,
#金砖兑换,,,,,,,,,
99999,repair_brics_mail,,,1,7,货币调整，您的|c102{%text}$c金砖转换成|c102${%text}$c，请查收!,0,432000,
#退过款的玩家再储值,,,,,,,,,
30001,charge_after_refused,重要提醒,,1,7,您好，检测到您谷歌退过款，当前储值金额已补偿之前的退款！有疑问请联系客服！,0,432000,
#退过款的玩家发起回收,,,,,,,,,
30002,trade_after_refused,重要提醒,,1,7,您好，检测到您谷歌退过款，暂时无法发起回收！有疑问请联系客服！,0,432000,
#匹配场,,,,,,,,,
30003,single_award,匹配场奖励,,1,7,恭喜玩家在|c102{%text}获得第|c102{%text}名，本次奖励|c102{%text}赏金石,0,432000,匹配场单局获得奖励提前退出或掉线邮件奖励
30004,ranking_award,匹配场排行奖励,,1,7,恭喜玩家在|c102{%text}获得每日排行第一名，本次奖励|c102{%text}赏金石,0,432000,匹配场每日排行结算奖励邮件
#幸运彩球,,,,,,,,,
35000,lucky_ball,幸运彩球掉线中奖邮件,,1,7,您好，您的[几号球]彩球已中奖，由于您在幸运彩球事件中掉线，奖金[中奖金额]通过邮件方式发放，请查收。,0,432000,幸运彩球掉线邮件
#1v1,,,,,,,,,
35001,ranking_list1,初级场排名奖励,,1,7,恭喜玩家在1v1初级场获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
35002,ranking_list2,中级场排名奖励,,1,7,恭喜玩家在1v1中级场获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
35003,ranking_list3,高级场排名奖励,,1,7,恭喜玩家在1v1高级场获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
35004,ranking_list4,掉线或者提前退出邮件奖励,,1,7,恭喜玩家在1v1初级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,1v1单局获得奖励提前退出或掉线邮件奖励
35005,ranking_list5,掉线或者提前退出邮件奖励,,1,7,恭喜玩家在1v1中级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,1v1单局获得奖励提前退出或掉线邮件奖励
35006,ranking_list6,掉线或者提前退出邮件奖励,,1,7,恭喜玩家在1v1高级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,1v1单局获得奖励提前退出或掉线邮件奖励
35007,ranking_list7,平手奖励,,1,7,恭喜玩家在1v1初级场获得平手，本次奖励{%text}赏金石,0,432000,平手奖励
35008,ranking_list8,平手奖励,,1,7,恭喜玩家在1v1中级场获得平手，本次奖励{%text}赏金石,0,432000,平手奖励
35009,ranking_list9,平手奖励,,1,7,恭喜玩家在1v1高级场获得平手，本次奖励{%text}赏金石,0,432000,平手奖励
#无尽对决,,,,,,,,,
36000,endless_fight1,掉线邮件奖励,,1,7,恭喜玩家在无尽对决模式中获奖，本次奖励{%text}金币,0,432000,无尽对决掉线后中奖的邮件奖励
36001,endless_fight2,掉线邮件奖励,,1,7,恭喜玩家在无尽对决模式中获奖，本次奖励{%text}赏金石,0,432000,无尽对决掉线后中奖的邮件奖励
#奔驰宝马,,,,,,,,,
36100,mercedes_list1,掉线邮件奖励,,1,7,恭喜玩家在奔驰宝马金币场中获奖，本次奖励{%text}金币,0,432000,奔驰宝马掉线后中奖的邮件奖励
36101,mercedes_list2,掉线邮件奖励,,1,7,恭喜玩家在奔驰宝马赏金场中获奖，本次奖励{%text}赏金石,0,432000,奔驰宝马掉线后中奖的邮件奖励
#成长大作战,,,,,,,,,
37001,growth_battle1,成长大作战初级场排名奖励,,1,7,恭喜玩家在成长大作战初级场中获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
37002,growth_battle2,成长大作战中级场排名奖励,,1,7,恭喜玩家在成长大作战中级场中获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
37003,growth_battle3,成长大作战高级场排名奖励,,1,7,恭喜玩家在成长大作战高级场中获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
37004,growth_battle4,平手奖励,,1,7,恭喜玩家在成长大作战初级场获得平手，本次奖励{%text}赏金石,0,432000,
37005,growth_battle5,平手奖励,,1,7,恭喜玩家在成长大作战中级场获得平手，本次奖励{%text}赏金石,0,432000,
37006,growth_battle6,平手奖励,,1,7,恭喜玩家在成长大作战高级场获得平手，本次奖励{%text}赏金石,0,432000,
37007,growth_battle7,掉线邮件,,1,7,恭喜玩家在成长大作战初级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,
37008,growth_battle8,掉线邮件,,1,7,恭喜玩家在成长大作战中级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,
37009,growth_battle9,掉线邮件,,1,7,恭喜玩家在成长大作战高级场场获得第{%text}名，本次奖励{%text}赏金石,0,432000,
